asset,asset_type,title,split,comparison_baseline,source_artifacts,notes
report_assets/tables/table_06_confusion_matrix_summary.csv,table_source_csv,Selected Dev and Held-Out Confusion-Matrix Counts,mixed/explicit by row,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,TN/FP/FN/TP use target 1 as the positive class; counts are tweets.
report_assets/tables/table_06_confusion_matrix_summary.tex,report_ready_latex_table,Selected Dev and Held-Out Confusion-Matrix Counts,mixed/explicit by row,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,TN/FP/FN/TP use target 1 as the positive class; counts are tweets.
report_assets/tables/table_07_prediction_transitions.csv,table_source_csv,Prediction Transitions Relative to the Ticket 1 Frozen Baseline,mixed/explicit by row,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Fixed/new FP/FN are disjoint correctness transitions; counts are tweets and are reported separately for dev and held-out.
report_assets/tables/table_07_prediction_transitions.tex,report_ready_latex_table,Prediction Transitions Relative to the Ticket 1 Frozen Baseline,mixed/explicit by row,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Fixed/new FP/FN are disjoint correctness transitions; counts are tweets and are reported separately for dev and held-out.
report_assets/tables/table_15_ticket1_dev_probe_ledger.csv,table_source_csv,Ticket 1 Historical Probe Deltas on Dev and Held-Out,mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/ticket-1/probes/dev_probe_metrics.csv; experiments/ticket-1/heldout/heldout_probe_metrics.csv; experiments/ticket-1/heldout/discrepancy_comparison.csv; experiments/ticket-1/probes/probe_plan.json,Each delta is probe F1 minus submitted-baseline F1 in percentage points. The historical held-out ledger is diagnostic after the reference mismatch and is not eligible evidence for replacing the frozen baseline.
report_assets/tables/table_15_ticket1_dev_probe_ledger.tex,report_ready_latex_table,Ticket 1 Historical Probe Deltas on Dev and Held-Out,mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/ticket-1/probes/dev_probe_metrics.csv; experiments/ticket-1/heldout/heldout_probe_metrics.csv; experiments/ticket-1/heldout/discrepancy_comparison.csv; experiments/ticket-1/probes/probe_plan.json,Each delta is probe F1 minus submitted-baseline F1 in percentage points. The historical held-out ledger is diagnostic after the reference mismatch and is not eligible evidence for replacing the frozen baseline.
report_assets/tables/table_08_normalization_experiments.csv,table_source_csv,Ticket 2 Normalization and Invariance Results on Dev,dev,Ticket 1 frozen baseline where applicable,experiments/ticket-2/dev/results/dev_metrics.csv; experiments/ticket-2/dev/robustness/robustness_metrics.csv,All variants use the frozen baseline model family; robustness values refer to each transformation's matched perturbation. Emoji affected zero dataset rows.
report_assets/tables/table_08_normalization_experiments.tex,report_ready_latex_table,Ticket 2 Normalization and Invariance Results on Dev,dev,Ticket 1 frozen baseline where applicable,experiments/ticket-2/dev/results/dev_metrics.csv; experiments/ticket-2/dev/robustness/robustness_metrics.csv,All variants use the frozen baseline model family; robustness values refer to each transformation's matched perturbation. Emoji affected zero dataset rows.
report_assets/tables/table_09_shortcut_shallow_feature_audit.csv,table_source_csv,Ticket 3 Shortcut and Shallow-Feature Audit on Dev,dev,Ticket 1 frozen baseline where applicable,experiments/ticket-3/dev/results/dev_metrics.csv; experiments/ticket-3/dev/robustness/robustness_metrics.csv,Candidate metrics and matched perturbation outcomes are kept on dev. Blank robustness cells mean the perturbation was not applicable to that variant.
report_assets/tables/table_09_shortcut_shallow_feature_audit.tex,report_ready_latex_table,Ticket 3 Shortcut and Shallow-Feature Audit on Dev,dev,Ticket 1 frozen baseline where applicable,experiments/ticket-3/dev/results/dev_metrics.csv; experiments/ticket-3/dev/robustness/robustness_metrics.csv,Candidate metrics and matched perturbation outcomes are kept on dev. Blank robustness cells mean the perturbation was not applicable to that variant.
report_assets/tables/table_10_decision_rule_model_comparison.csv,table_source_csv,Ticket 4 Model and Decision-Rule Comparison on Dev,dev,Ticket 1 frozen baseline where applicable,experiments/ticket-4/dev/results/dev_model_metrics.csv; results/threshold_sweep.csv,All rows preserve the frozen text representation; only the listed classifier/regularization/class-weight/threshold lever changes.
report_assets/tables/table_10_decision_rule_model_comparison.tex,report_ready_latex_table,Ticket 4 Model and Decision-Rule Comparison on Dev,dev,Ticket 1 frozen baseline where applicable,experiments/ticket-4/dev/results/dev_model_metrics.csv; results/threshold_sweep.csv,All rows preserve the frozen text representation; only the listed classifier/regularization/class-weight/threshold lever changes.
report_assets/figures/figure_01_threshold_sweep_data.csv,figure_source_csv,Ticket 4 Threshold Sweep on Dev,dev,Ticket 1 frozen baseline at threshold 0.50,results/threshold_sweep.csv,61 thresholds from 0.20 to 0.80 inclusive.
report_assets/figures/figure_01_threshold_sweep.png,figure_png,Ticket 4 Threshold Sweep on Dev,explicit in figure,Ticket 1 frozen baseline where applicable,results/threshold_sweep.csv,"Y-axis spans the full [0,1] metric range; the sweep evaluates the unweighted frozen baseline scores."
report_assets/figures/figure_01_threshold_sweep.svg,figure_svg,Ticket 4 Threshold Sweep on Dev,explicit in figure,Ticket 1 frozen baseline where applicable,results/threshold_sweep.csv,"Y-axis spans the full [0,1] metric range; the sweep evaluates the unweighted frozen baseline scores."
report_assets/figures/figure_05_ticket4_model_grid_data.csv,figure_source_csv,Ticket 4 Model Grid on Dev,dev,Ticket 1 frozen baseline,experiments/ticket-4/dev/results/dev_model_metrics.csv,All 12 predeclared candidates; lower panel reports F1 change from the unweighted C=1 control in percentage points.
report_assets/figures/figure_05_ticket4_model_grid.png,figure_png,Ticket 4 Model Grid on Dev,explicit in figure,Ticket 1 frozen baseline where applicable,experiments/ticket-4/dev/results/dev_model_metrics.csv,"Upper panel uses the full [0,1] metric range. Lower panel shows F1 deltas from the unweighted C=1 control; green is the frozen selection and orange marks extended C=5/C=10 candidates."
report_assets/figures/figure_05_ticket4_model_grid.svg,figure_svg,Ticket 4 Model Grid on Dev,explicit in figure,Ticket 1 frozen baseline where applicable,experiments/ticket-4/dev/results/dev_model_metrics.csv,"Upper panel uses the full [0,1] metric range. Lower panel shows F1 deltas from the unweighted C=1 control; green is the frozen selection and orange marks extended C=5/C=10 candidates."
report_assets/tables/table_11_data_quality_audit_summary.csv,table_source_csv,Ticket 5 Data-Quality Audit Summary,mixed/explicit by row,Ticket 1 frozen baseline where applicable,results/data_quality_audit.csv; experiments/ticket-5/dev/results/duplicate_summary.csv; experiments/ticket-5/heldout/full_duplicate_summary.csv; experiments/ticket-5/final_audit_manifest.json,Duplicate rows report groups/pairs and member tweets; disposition rows report audited tweet counts. Source and held-out labels remain unchanged.
report_assets/tables/table_11_data_quality_audit_summary.tex,report_ready_latex_table,Ticket 5 Data-Quality Audit Summary,mixed/explicit by row,Ticket 1 frozen baseline where applicable,results/data_quality_audit.csv; experiments/ticket-5/dev/results/duplicate_summary.csv; experiments/ticket-5/heldout/full_duplicate_summary.csv; experiments/ticket-5/final_audit_manifest.json,Duplicate rows report groups/pairs and member tweets; disposition rows report audited tweet counts. Source and held-out labels remain unchanged.
report_assets/figures/figure_04_data_quality_dispositions_data.csv,figure_source_csv,Ticket 5 Data-Quality Audit Dispositions,mixed; stable IDs,not applicable,results/data_quality_audit.csv,"Counts are audited rows, not automatic relabelings."
report_assets/figures/figure_04_data_quality_dispositions.png,figure_png,Ticket 5 Data-Quality Audit Dispositions,explicit in figure,Ticket 1 frozen baseline where applicable,results/data_quality_audit.csv,Axis starts at zero; counts are audit dispositions and do not imply that labels were changed.
report_assets/figures/figure_04_data_quality_dispositions.svg,figure_svg,Ticket 5 Data-Quality Audit Dispositions,explicit in figure,Ticket 1 frozen baseline where applicable,results/data_quality_audit.csv,Axis starts at zero; counts are audit dispositions and do not imply that labels were changed.
report_assets/tables/table_12_representative_case_analysis.csv,table_source_csv,"Representative Successes, Failures, Ambiguities, and Audit Cases",mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/ticket-1/probes/changes/logreg_solver_liblinear_changes.csv; experiments/ticket-2/heldout/heldout_changes_vs_frozen_baseline.csv; experiments/ticket-3/dev/changes/keyword_only_changes.csv; experiments/ticket-3/dev/changes/text_plus_selected_shallow_features_changes.csv; experiments/ticket-4/heldout/heldout_changes_vs_frozen_baseline.csv; experiments/ticket-5/dev/correction_experiment/changes_vs_ticket4.csv; predictions/final-heldout-predictions.csv; results/data_quality_audit.csv,"Stable IDs, text, labels, predictions, and scores are verified against source artifacts. 'Potential annotation issue' is not treated as a confirmed mislabel."
report_assets/tables/table_12_representative_case_analysis.tex,report_ready_latex_table,"Representative Successes, Failures, Ambiguities, and Audit Cases",mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/ticket-1/probes/changes/logreg_solver_liblinear_changes.csv; experiments/ticket-2/heldout/heldout_changes_vs_frozen_baseline.csv; experiments/ticket-3/dev/changes/keyword_only_changes.csv; experiments/ticket-3/dev/changes/text_plus_selected_shallow_features_changes.csv; experiments/ticket-4/heldout/heldout_changes_vs_frozen_baseline.csv; experiments/ticket-5/dev/correction_experiment/changes_vs_ticket4.csv; predictions/final-heldout-predictions.csv; results/data_quality_audit.csv,"Stable IDs, text, labels, predictions, and scores are verified against source artifacts. 'Potential annotation issue' is not treated as a confirmed mislabel."
report_assets/tables/table_13_difficulties_and_solutions.csv,table_source_csv,"Verified Project Difficulties, Responses, and Residual Limits",mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/final-reproducibility-audit/reproduced_summary.csv; experiments/final-reproducibility-audit/reproducibility_verification.json; experiments/ticket-1/heldout/primary_contract_comparison.json; experiments/ticket-1/probes/configuration_audit.json; experiments/ticket-1/probes/dev_probe_metrics.csv; experiments/ticket-2/dev/robustness/robustness_metrics.csv; experiments/ticket-3/dev/results/dev_metrics.csv; experiments/ticket-3/dev/robustness/robustness_metrics.csv; experiments/ticket-3/frozen_decision.json; experiments/ticket-4/dev/results/dev_model_metrics.csv; experiments/ticket-4/frozen_decision.json; experiments/ticket-4/heldout/heldout_changes_vs_frozen_baseline.csv; experiments/ticket-5/dev/results/duplicate_summary.csv; experiments/ticket-5/final_audit_manifest.json; experiments/ticket-5/heldout/full_duplicate_summary.csv; results/data_quality_audit.csv; results/threshold_sweep.csv,Only difficulties supported by generated artifacts are included; narrative-only events are excluded.
report_assets/tables/table_13_difficulties_and_solutions.tex,report_ready_latex_table,"Verified Project Difficulties, Responses, and Residual Limits",mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/final-reproducibility-audit/reproduced_summary.csv; experiments/final-reproducibility-audit/reproducibility_verification.json; experiments/ticket-1/heldout/primary_contract_comparison.json; experiments/ticket-1/probes/configuration_audit.json; experiments/ticket-1/probes/dev_probe_metrics.csv; experiments/ticket-2/dev/robustness/robustness_metrics.csv; experiments/ticket-3/dev/results/dev_metrics.csv; experiments/ticket-3/dev/robustness/robustness_metrics.csv; experiments/ticket-3/frozen_decision.json; experiments/ticket-4/dev/results/dev_model_metrics.csv; experiments/ticket-4/frozen_decision.json; experiments/ticket-4/heldout/heldout_changes_vs_frozen_baseline.csv; experiments/ticket-5/dev/results/duplicate_summary.csv; experiments/ticket-5/final_audit_manifest.json; experiments/ticket-5/heldout/full_duplicate_summary.csv; results/data_quality_audit.csv; results/threshold_sweep.csv,Only difficulties supported by generated artifacts are included; narrative-only events are excluded.
report_assets/tables/table_14_ai_usage_and_verification.csv,table_source_csv,AI Usage and Verification Workflow,mixed/explicit by row,Ticket 1 frozen baseline where applicable,logs/chat.md; configs/frozen_decisions.json; experiments/final-reproducibility-audit/reproducibility_verification.json; experiments/final-reproducibility-audit/reproduced_summary.csv,"This is a workflow declaration, not a substitute for source citations or human review."
report_assets/tables/table_14_ai_usage_and_verification.tex,report_ready_latex_table,AI Usage and Verification Workflow,mixed/explicit by row,Ticket 1 frozen baseline where applicable,logs/chat.md; configs/frozen_decisions.json; experiments/final-reproducibility-audit/reproducibility_verification.json; experiments/final-reproducibility-audit/reproduced_summary.csv,"This is a workflow declaration, not a substitute for source citations or human review."
report_assets/figures/figure_02_dev_heldout_f1_data.csv,figure_source_csv,Dev and Held-Out F1 by Ticket,dev and heldout,Ticket 1 frozen baseline,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,F1 is recomputed from archived predictions.
report_assets/figures/figure_02_dev_heldout_f1.png,figure_png,Dev and Held-Out F1 by Ticket,explicit in figure,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,"Y-axis spans [0,1]; bars are descriptive and do not imply held-out selection."
report_assets/figures/figure_02_dev_heldout_f1.svg,figure_svg,Dev and Held-Out F1 by Ticket,explicit in figure,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,"Y-axis spans [0,1]; bars are descriptive and do not imply held-out selection."
report_assets/figures/figure_03_prediction_transitions_data.csv,figure_source_csv,Held-Out Error Transitions Relative to Ticket 1,heldout,Ticket 1 frozen baseline,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Counts separate fixed and newly introduced error types.
report_assets/figures/figure_03_prediction_transitions.png,figure_png,Held-Out Error Transitions Relative to Ticket 1,explicit in figure,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Axis starts at zero; fixed and new FP/FN counts are shown separately without netting successes against failures.
report_assets/figures/figure_03_prediction_transitions.svg,figure_svg,Held-Out Error Transitions Relative to Ticket 1,explicit in figure,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Axis starts at zero; fixed and new FP/FN counts are shown separately without netting successes against failures.
report_assets/figures/figure_06_ticket1_dev_probe_deltas_data.csv,figure_source_csv,Ticket 1 Historical Probe Delta Scatter,dev and heldout,Ticket 1 submitted baseline,experiments/ticket-1/probes/dev_probe_metrics.csv; experiments/ticket-1/heldout/heldout_probe_metrics.csv; experiments/ticket-1/heldout/discrepancy_comparison.csv; experiments/ticket-1/probes/probe_plan.json,Each point plots dev and held-out target-1 F1 deltas in percentage points. The second panel magnifies near-baseline probes; the historical held-out ledger is diagnostic only.
report_assets/figures/figure_06_ticket1_dev_probe_deltas.png,figure_png,Ticket 1 Historical Probe Delta Scatter,explicit in figure,Ticket 1 frozen baseline where applicable,experiments/ticket-1/probes/dev_probe_metrics.csv; experiments/ticket-1/heldout/heldout_probe_metrics.csv; experiments/ticket-1/heldout/discrepancy_comparison.csv; experiments/ticket-1/probes/probe_plan.json,"Each point is a historical probe. The left panel shows the full percentage-point range; the right magnifies near-baseline behavior. Points at zero overlap exactly. The held-out probe ledger is diagnostic after the reference mismatch, not valid for replacement-model selection."
report_assets/figures/figure_06_ticket1_dev_probe_deltas.svg,figure_svg,Ticket 1 Historical Probe Delta Scatter,explicit in figure,Ticket 1 frozen baseline where applicable,experiments/ticket-1/probes/dev_probe_metrics.csv; experiments/ticket-1/heldout/heldout_probe_metrics.csv; experiments/ticket-1/heldout/discrepancy_comparison.csv; experiments/ticket-1/probes/probe_plan.json,"Each point is a historical probe. The left panel shows the full percentage-point range; the right magnifies near-baseline behavior. Points at zero overlap exactly. The held-out probe ledger is diagnostic after the reference mismatch, not valid for replacement-model selection."
